Stacktrace Code:

Line	 OP	 L	  M
  0	JMP	 0	 32
  1	JMP	 0	 23
  2	JMP	 0	 14
  3	JMP	 0	  4
  4	INC	 0	  6
  5	LIT	 0	  1
  6	STO	 0	  5
  7	LOD	 0	  4
  8	LOD	 0	  5
  9	OPR	 0	  2
 10	LOD	 3	  8
 11	OPR	 0	  2
 12	STO	 2	  4
 13	OPR	 0	  0
 14	INC	 0	  7
 15	LOD	 1	  4
 16	LOD	 1	  6
 17	OPR	 0	  2
 18	LOD	 2	  8
 19	OPR	 0	  2
 20	STO	 0	  4
 21	CAL	 0	  3
 22	OPR	 0	  0
 23	INC	 0	  8
 24	LIT	 0	  2
 25	STO	 1	  6
 26	LOD	 1	  6
 27	LOD	 1	  8
 28	OPR	 0	  2
 29	STO	 0	  6
 30	CAL	 0	  2
 31	OPR	 0	  0
 32	INC	 0	  9
 33	LIT	 0	  1
 34	STO	 0	  4
 35	LIT	 0	  2
 36	STO	 0	  5
 37	LIT	 0	  3
 38	STO	 0	  6
 39	LIT	 0	  4
 40	STO	 0	  7
 41	LIT	 0	  5
 42	STO	 0	  8
 43	LOD	 0	  7
 44	LOD	 0	  8
 45	OPR	 0	  2
 46	STO	 0	  4
 47	LOD	 0	  6
 48	SIO	 0	  1
 49	CAL	 0	  1
 50	OPR	 0	  0

Stacktrace:
				  PC		 BP		 SP		Stack
Initial Values			  0		  1		  0
  0	JMP	 0	 32	 32		  1		  0		
 32	INC	 0	  9	 33		  1		  9		0 0 0 0 0 0 0 0 0 
 33	LIT	 0	  1	 34		  1		 10		0 0 0 0 0 0 0 0 0 1 
 34	STO	 0	  4	 35		  1		  9		0 0 0 0 1 0 0 0 0 
 35	LIT	 0	  2	 36		  1		 10		0 0 0 0 1 0 0 0 0 2 
 36	STO	 0	  5	 37		  1		  9		0 0 0 0 1 2 0 0 0 
 37	LIT	 0	  3	 38		  1		 10		0 0 0 0 1 2 0 0 0 3 
 38	STO	 0	  6	 39		  1		  9		0 0 0 0 1 2 3 0 0 
 39	LIT	 0	  4	 40		  1		 10		0 0 0 0 1 2 3 0 0 4 
 40	STO	 0	  7	 41		  1		  9		0 0 0 0 1 2 3 4 0 
 41	LIT	 0	  5	 42		  1		 10		0 0 0 0 1 2 3 4 0 5 
 42	STO	 0	  8	 43		  1		  9		0 0 0 0 1 2 3 4 5 
 43	LOD	 0	  7	 44		  1		 10		0 0 0 0 1 2 3 4 5 4 
 44	LOD	 0	  8	 45		  1		 11		0 0 0 0 1 2 3 4 5 4 5 
 45	OPR	 0	  2	 46		  1		 10		0 0 0 0 1 2 3 4 5 9 
 46	STO	 0	  4	 47		  1		  9		0 0 0 0 9 2 3 4 5 
 47	LOD	 0	  6	 48		  1		 10		0 0 0 0 9 2 3 4 5 3 
 48	SIO	 0	  1	 49		  1		  9		0 0 0 0 9 2 3 4 5 
 49	CAL	 0	  1	  1		 10		  9		0 0 0 0 9 2 3 4 5 
  1	JMP	 0	 23	 23		 10		  9		0 0 0 0 9 2 3 4 5 
 23	INC	 0	  8	 24		 10		 17		0 0 0 0 9 2 3 4 5 | 0 1 1 50 0 0 0 0 
 24	LIT	 0	  2	 25		 10		 18		0 0 0 0 9 2 3 4 5 | 0 1 1 50 0 0 0 0 2 
 25	STO	 1	  6	 26		 10		 17		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 0 0 
 26	LOD	 1	  6	 27		 10		 18		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 0 0 2 
 27	LOD	 1	  8	 28		 10		 19		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 0 0 2 5 
 28	OPR	 0	  2	 29		 10		 18		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 0 0 7 
 29	STO	 0	  6	 30		 10		 17		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 
 30	CAL	 0	  2	  2		 18		 17		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 
  2	JMP	 0	 14	 14		 18		 17		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 
 14	INC	 0	  7	 15		 18		 24		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 0 0 0 
 15	LOD	 1	  4	 16		 18		 25		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 0 0 0 0 
 16	LOD	 1	  6	 17		 18		 26		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 0 0 0 0 7 
 17	OPR	 0	  2	 18		 18		 25		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 0 0 0 7 
 18	LOD	 2	  8	 19		 18		 26		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 0 0 0 7 5 
 19	OPR	 0	  2	 20		 18		 25		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 0 0 0 12 
 20	STO	 0	  4	 21		 18		 24		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 
 21	CAL	 0	  3	  3		 25		 24		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 
  3	JMP	 0	  4	  4		 25		 24		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 
  4	INC	 0	  6	  5		 25		 30		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 | 0 18 18 22 0 0 
  5	LIT	 0	  1	  6		 25		 31		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 | 0 18 18 22 0 0 1 
  6	STO	 0	  5	  7		 25		 30		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 | 0 18 18 22 0 1 
  7	LOD	 0	  4	  8		 25		 31		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 | 0 18 18 22 0 1 0 
  8	LOD	 0	  5	  9		 25		 32		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 | 0 18 18 22 0 1 0 1 
  9	OPR	 0	  2	 10		 25		 31		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 | 0 18 18 22 0 1 1 
 10	LOD	 3	  8	 11		 25		 32		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 | 0 18 18 22 0 1 1 5 
 11	OPR	 0	  2	 12		 25		 31		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 | 0 18 18 22 0 1 6 
 12	STO	 2	  4	 13		 25		 30		0 0 0 0 9 2 2 4 5 | 0 1 1 50 6 0 7 0 | 0 10 10 31 12 0 0 | 0 18 18 22 0 1 
 13	OPR	 0	  0	 22		 18		 24		0 0 0 0 9 2 2 4 5 | 0 1 1 50 6 0 7 0 | 0 10 10 31 12 0 0 
 22	OPR	 0	  0	 31		 10		 17		0 0 0 0 9 2 2 4 5 | 0 1 1 50 6 0 7 0 
 31	OPR	 0	  0	 50		  1		  9		0 0 0 0 9 2 2 4 5 
 50	OPR	 0	  0	  0		  0		  0		
