
Stacktrace:
	  PC		 BP		 SP		Stack
	  0		  1		  0
	 32		  1		  0		
	 33		  1		  9		0 0 0 0 0 0 0 0 0 
	 34		  1		 10		0 0 0 0 0 0 0 0 0 1 
	 35		  1		  9		0 0 0 0 1 0 0 0 0 
	 36		  1		 10		0 0 0 0 1 0 0 0 0 2 
	 37		  1		  9		0 0 0 0 1 2 0 0 0 
	 38		  1		 10		0 0 0 0 1 2 0 0 0 3 
	 39		  1		  9		0 0 0 0 1 2 3 0 0 
	 40		  1		 10		0 0 0 0 1 2 3 0 0 4 
	 41		  1		  9		0 0 0 0 1 2 3 4 0 
	 42		  1		 10		0 0 0 0 1 2 3 4 0 5 
	 43		  1		  9		0 0 0 0 1 2 3 4 5 
	 44		  1		 10		0 0 0 0 1 2 3 4 5 4 
	 45		  1		 11		0 0 0 0 1 2 3 4 5 4 5 
	 46		  1		 10		0 0 0 0 1 2 3 4 5 9 
	 47		  1		  9		0 0 0 0 9 2 3 4 5 
	 48		  1		 10		0 0 0 0 9 2 3 4 5 3 
	 49		  1		  9		0 0 0 0 9 2 3 4 5 
	  1		 10		  9		0 0 0 0 9 2 3 4 5 
	 23		 10		  9		0 0 0 0 9 2 3 4 5 
	 24		 10		 17		0 0 0 0 9 2 3 4 5 | 0 1 1 50 0 0 0 0 
	 25		 10		 18		0 0 0 0 9 2 3 4 5 | 0 1 1 50 0 0 0 0 2 
	 26		 10		 17		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 0 0 
	 27		 10		 18		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 0 0 2 
	 28		 10		 19		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 0 0 2 5 
	 29		 10		 18		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 0 0 7 
	 30		 10		 17		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 
	  2		 18		 17		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 
	 14		 18		 17		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 
	 15		 18		 24		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 0 0 0 
	 16		 18		 25		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 0 0 0 0 
	 17		 18		 26		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 0 0 0 0 7 
	 18		 18		 25		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 0 0 0 7 
	 19		 18		 26		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 0 0 0 7 5 
	 20		 18		 25		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 0 0 0 12 
	 21		 18		 24		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 
	  3		 25		 24		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 
	  4		 25		 24		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 
	  5		 25		 30		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 | 0 18 18 22 0 0 
	  6		 25		 31		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 | 0 18 18 22 0 0 1 
	  7		 25		 30		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 | 0 18 18 22 0 1 
	  8		 25		 31		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 | 0 18 18 22 0 1 0 
	  9		 25		 32		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 | 0 18 18 22 0 1 0 1 
	 10		 25		 31		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 | 0 18 18 22 0 1 1 
	 11		 25		 32		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 | 0 18 18 22 0 1 1 5 
	 12		 25		 31		0 0 0 0 9 2 2 4 5 | 0 1 1 50 0 0 7 0 | 0 10 10 31 12 0 0 | 0 18 18 22 0 1 6 
	 13		 25		 30		0 0 0 0 9 2 2 4 5 | 0 1 1 50 6 0 7 0 | 0 10 10 31 12 0 0 | 0 18 18 22 0 1 
	 22		 18		 24		0 0 0 0 9 2 2 4 5 | 0 1 1 50 6 0 7 0 | 0 10 10 31 12 0 0 
	 31		 10		 17		0 0 0 0 9 2 2 4 5 | 0 1 1 50 6 0 7 0 
	 50		  1		  9		0 0 0 0 9 2 2 4 5 
	  0		  0		  0		
